Function,InitDistanceToFlag,BotType,ShotsTaken,Put,DistanceAfterFirstShot,FinalDistance,CalculationTimeAveragePerShot
0.0015646198549311152 * sqrt ( -3.5131276362241004E-4 * x ^ 3 ) + 0.0037406806282206883 * x ^ 2 ^ 3 + -0.0013772108420772432 * x ^ 1 - -0.007880971887583304 * y ^ 1 + 10,9.608950842725706,NewAI,10,false,NaN,NaN,116120.0
0.0015646198549311152 * sqrt ( -3.5131276362241004E-4 * x ^ 3 ) + 0.0037406806282206883 * x ^ 2 ^ 3 + -0.0013772108420772432 * x ^ 1 - -0.007880971887583304 * y ^ 1 + 10,9.608950842725706,Random,10,false,NaN,NaN,3680.0
-0.006163904373880562 * x ^ 1 - 0.008356490148161023 * x ^ 2 ^ 2 + -0.00863709790648653 * y ^ 4 * 0.002228286271462505 * x ^ 1 + 10,17.151647079660794,BasicAI,10,false,17.151647079660794,17.151647079660794,2850.0
-0.006163904373880562 * x ^ 1 - 0.008356490148161023 * x ^ 2 ^ 2 + -0.00863709790648653 * y ^ 4 * 0.002228286271462505 * x ^ 1 + 10,17.151647079660794,NewAI,10,false,17.151647079660794,17.151647079660794,14630.0
-0.006163904373880562 * x ^ 1 - 0.008356490148161023 * x ^ 2 ^ 2 + -0.00863709790648653 * y ^ 4 * 0.002228286271462505 * x ^ 1 + 10,17.151647079660794,Random,10,false,17.151647079660794,17.151647079660794,480.0
0.0024351776445732274 * x ^ 2 + 0.008147743551371845 * atan ( 0.00812771688356812 * y ^ 1 ) * 0.007889320510454222 * x ^ 4 - -8.266811756679382E-4 * x ^ 1 + 10,13.155691024446458,BasicAI,10,false,2.6985465312073447,2.540332656428623,3720.0
0.0024351776445732274 * x ^ 2 + 0.008147743551371845 * atan ( 0.00812771688356812 * y ^ 1 ) * 0.007889320510454222 * x ^ 4 - -8.266811756679382E-4 * x ^ 1 + 10,13.155691024446458,NewAI,10,false,2.445469661842199,2.518132488472015,15090.0
0.0024351776445732274 * x ^ 2 + 0.008147743551371845 * atan ( 0.00812771688356812 * y ^ 1 ) * 0.007889320510454222 * x ^ 4 - -8.266811756679382E-4 * x ^ 1 + 10,13.155691024446458,Random,10,false,13.155691024446458,13.155691024446458,750.0
0.0034203370298833235 * log ( -0.007370734554033074 * y ^ 1 ) ^ 5 + -0.004451114081469285 * y ^ 1 + -0.0031530510603168115 * y ^ 2 + 10,15.270123412290294,BasicAI,10,false,15.270123412290294,15.270123412290294,2340.0
0.0034203370298833235 * log ( -0.007370734554033074 * y ^ 1 ) ^ 5 + -0.004451114081469285 * y ^ 1 + -0.0031530510603168115 * y ^ 2 + 10,15.270123412290294,NewAI,10,false,15.270123412290294,15.270123412290294,15060.0
0.0034203370298833235 * log ( -0.007370734554033074 * y ^ 1 ) ^ 5 + -0.004451114081469285 * y ^ 1 + -0.0031530510603168115 * y ^ 2 + 10,15.270123412290294,Random,10,false,15.270123412290294,15.270123412290294,510.0
3.5230533337102574E-4 * y ^ 1 + 0.0019252506775468581 * abs ( 6.535423466290213E-4 * x ^ 2 + -5.315157211698452E-4 * y ^ 4 ) + 10,3.1080665204052162,BasicAI,10,false,0.5213798151693262,0.7969192623346582,3170.0
3.5230533337102574E-4 * y ^ 1 + 0.0019252506775468581 * abs ( 6.535423466290213E-4 * x ^ 2 + -5.315157211698452E-4 * y ^ 4 ) + 10,3.1080665204052162,NewAI,10,false,0.5399400742755845,1.008654896569145,12010.0
3.5230533337102574E-4 * y ^ 1 + 0.0019252506775468581 * abs ( 6.535423466290213E-4 * x ^ 2 + -5.315157211698452E-4 * y ^ 4 ) + 10,3.1080665204052162,Random,10,false,1.8363743122526635E24,1.8363743122526635E24,4110.0
0.008473292659087172 * sqrt ( -0.0017519027509383467 * x ^ 1 ) ^ 2 + -0.009020218403310269 * x ^ 1 - 0.00515236246344792 * y ^ 1 ^ 2 + -0.009655822047098363 * x ^ 5 + 10,2.0296467791856614,BasicAI,10,false,2.0296467791856614,2.0296467791856614,1980.0
0.008473292659087172 * sqrt ( -0.0017519027509383467 * x ^ 1 ) ^ 2 + -0.009020218403310269 * x ^ 1 - 0.00515236246344792 * y ^ 1 ^ 2 + -0.009655822047098363 * x ^ 5 + 10,2.0296467791856614,NewAI,10,false,2.0296467791856614,2.0296467791856614,14530.0
